trace_id,evidence_ids,legacy_lens_or_root_cause,ctq_or_requirement,rule_or_policy,design_or_adr,implementation,test_or_eval,kpi,lifecycle_decision,status
TR-001,F-IDENT-001..005,Identity evidence treated as direct truth,CTQ-001,BR-ID-001;BR-ID-002,stage_05/01;stage_09/01;stage_13/02,src/fde_capstone/services/identity.py;src/fde_capstone/services/evidence.py,EVAL-002;INJ-007;EXT-ID-001..003;tests/integration/test_poc1_identity_readiness.py,44/45 P0 structural pass with one human case inconclusive,stage_20/03 RESTRICT_AND_CHANGE,VERIFIED_INTERNAL_POC
TR-002,F-READY-001..004,Manufacturing/ERP status substitutes for decision authority,CTQ-002,BR-STATE-001;BR-AUTH-001,stage_05/03;stage_09/01;stage_13/02,src/fde_capstone/services/quality.py,EXT-NORMAL-003;EXT-QUAL-001..003;tests/integration/test_poc3_quality_release.py,Zero source-authority substitution in executed structural tests,stage_20/03 RESTRICT_AND_CHANGE,VERIFIED_INTERNAL_POC
TR-003,F-GATE-001..002;F-SITE-001,Milestone prerequisites omitted or not revalidated,CTQ-003,BR-STATE-001,stage_05/04;stage_09/01;stage_13/01,src/fde_capstone/services/readiness.py,EVAL-004;INJ-005;INJ-010;EXT-GATE-001..004;tests/unit/test_readiness.py,Missing and negative prerequisites fail closed,stage_20/03 RESTRICT_AND_CHANGE,VERIFIED_INTERNAL_POC
TR-004,F-QUALITY-001..003,Blocking/disposition/authority semantics absent,CTQ-004,BR-AUTH-001;BR-AUTH-002;BR-AI-001,stage_10/02;stage_12/01;stage_13/02,src/fde_capstone/services/quality.py;src/fde_capstone/security.py,EVAL-005;EVAL-006;INJ-002;INJ-004;INJ-009;EXT-QUAL-001..006;tests/integration/test_poc3_quality_release.py,Zero unauthorized Quality release in executed structural tests,stage_20/03 RESTRICT_AND_CHANGE,VERIFIED_INTERNAL_POC
TR-005,F-INTEG-001..002,Cross-system work lacks semantic idempotency and recovery,CTQ-005,BR-CMD-001;BR-CMD-002,stage_10/02;stage_13/02,src/fde_capstone/services/commands.py;src/fde_capstone/adapters/slot_simulator.py,INJ-006;EXT-CMD-001..004;tests/integration/test_poc2_slot_orchestration.py,Zero duplicate effects and all simulated unknowns reconciled,stage_20/03 RESTRICT_AND_CHANGE,VERIFIED_INTERNAL_POC
TR-006,F-TIME-001..003;F-EVENT-001,Occurred/recorded time and event semantics are conflated,CTQ-006,BR-TIME-001;BR-EVD-001,stage_09/01;stage_09/02;stage_13/02,src/fde_capstone/storage.py;src/fde_capstone/services/evidence.py,EVAL-003;EXT-TIME-001..002;EXT-REC-001;tests/unit/test_temporal.py,Known-at replay stable in synthetic tests,stage_20/03 RESTRICT_AND_CHANGE,VERIFIED_INTERNAL_POC
TR-007,Stage 4 AI-risk screen,Fluent recommendation may hide evidence/authority,CTQ-007,BR-AI-001;BR-AUTH-002,stage_10/03;stage_11/01;stage_12/02,src/fde_capstone/services/assistant.py;src/fde_capstone/adapters/assistant_fake.py,EVAL-006;EXT-AI-001..006;tests/unit/test_assistant.py;EXT-HUM-001..002,Structural AI boundary passed; human and live-model value inconclusive,stage_20/03 KEEP_AI_OFF,VERIFIED_INTERNAL_POC
TR-008,F-SHADOW-001..004,No common owned exception lifecycle,CTQ-008,BR-EVD-002,stage_10/02;stage_16/01;stage_16/02,src/fde_capstone/services/cases.py,INJ-001;INJ-003;INJ-004;INJ-008;EXT-OPS-001;tests/unit/test_cases.py,Zero unowned created P0 cases in structural tests,stage_20/03 RESTRICT_AND_CHANGE,VERIFIED_INTERNAL_POC
TR-009,EVAL-005;INJ-009,Dependency outage creates unknown consequential state,CTQ-009,BR-CMD-002;BR-AI-001,stage_10/02;stage_16/02;stage_18/02,src/fde_capstone/services/commands.py;src/fde_capstone/services/assistant.py,EVAL-005;INJ-003;INJ-008;INJ-009;EXT-AI-005;EXT-AI-007;EXT-REC-001;tests/recovery_test.py,Recovery digest match and AI fallback observed,stage_20/03 RESTRICT_AND_CHANGE,VERIFIED_INTERNAL_POC
TR-010,ZIP checksums;Stage 2 forensic baseline,Unreproducible claims weaken assurance,CTQ-010,BR-EVD-001;BR-EVD-002,stage_09/02;stage_13/03;stage_14/release_manifest.json,tools/prepare_baseline.py;tools/generate_delivery_evidence.py;tools/verify_final_capstone.py,tests/test_evidence_integrity.py;tests/test_release_manifest.py;EXT-SEC-002,73 automated tests and 132/132 source hashes verified,stage_20/03 RESTRICT_AND_CHANGE,VERIFIED_INTERNAL_POC
