stage,artifact_id,pdf_essential_artifact,canonical_path,status,accountable_role,exit_evidence
01,S01-A01,Engagement charter,docs/stages/stage_01/01_ENGAGEMENT_CHARTER.md,PRESENT_INTERNAL,Capstone Owner,Human mandate confirmation pending
01,S01-A02,Scope,docs/stages/stage_01/01_ENGAGEMENT_CHARTER.md,PRESENT_INTERNAL,Capstone Owner,Scope and exclusions stated
01,S01-A03,Outcome statement,docs/stages/stage_01/01_ENGAGEMENT_CHARTER.md,PRESENT_INTERNAL,Capstone Owner,Synthetic outcome stated
01,S01-A04,Sponsor and owner,docs/stages/stage_01/01_ENGAGEMENT_CHARTER.md,EXTERNAL_REQUIRED,Sponsor,Named owner and signoff pending
01,S01-A05,Governance RACI,docs/stages/stage_01/04_GOVERNANCE_RACI_AND_DECISION_RIGHTS.md,PARTIAL,Capstone Owner,Role hypotheses require confirmation
01,S01-A06,Stakeholder and affected-groups maps,docs/stages/stage_01/03_STAKEHOLDER_AND_AFFECTED_GROUPS_MAP.md,PARTIAL,Capstone Owner,No field stakeholder interviews
01,S01-A07,Field-evidence register,docs/stages/stage_01/05_FIELD_EVIDENCE_REGISTER.md,PRESENT_INTERNAL,Evidence Owner,Frozen source locators recorded
02,S02-A01,SIPOC,docs/stages/stage_02/03_CURRENT_STATE_PROCESS_AND_ARCHITECTURE.md,PRESENT_INTERNAL,Architecture Owner,Synthetic process reconstruction
02,S02-A02,Process and value-stream maps,docs/stages/stage_02/03_CURRENT_STATE_PROCESS_AND_ARCHITECTURE.md,PRESENT_INTERNAL,Architecture Owner,Journey and exceptions shown
02,S02-A03,Waste register,docs/stages/stage_02/04_WASTE_DEPENDENCY_AND_RISK_REGISTER.md,PRESENT_INTERNAL,Operations Owner,Shadow work and waste evidenced
02,S02-A04,System landscape,docs/stages/stage_02/03_CURRENT_STATE_PROCESS_AND_ARCHITECTURE.md,PRESENT_INTERNAL,Architecture Owner,Source boundaries described
02,S02-A05,Brownfield assessment,docs/stages/stage_02/02_BROWNFIELD_8_LENS_ASSESSMENT.md,PRESENT_INTERNAL,Architecture Owner,Eight-lens evidence baseline
02,S02-A06,Current-state C4 views,docs/stages/stage_02/03_CURRENT_STATE_PROCESS_AND_ARCHITECTURE.md,PARTIAL,Architecture Owner,Context view only and no field topology validation
02,S02-A07,Dependencies,docs/stages/stage_02/04_WASTE_DEPENDENCY_AND_RISK_REGISTER.md,PRESENT_INTERNAL,Architecture Owner,Cross-domain dependency register
02,S02-A08,Data flows,docs/stages/stage_02/03_CURRENT_STATE_PROCESS_AND_ARCHITECTURE.md,PRESENT_INTERNAL,Data Owner,Source flow assessment
02,S02-A09,Trust boundaries,docs/stages/stage_02/03_CURRENT_STATE_PROCESS_AND_ARCHITECTURE.md,PRESENT_INTERNAL,Security Owner,Preliminary trust-boundary table
03,S03-A01,SCQA problem frame,docs/stages/stage_03/01_SCQA_AND_PRIORITIZED_PROBLEM.md,PRESENT_INTERNAL,Product Owner,Evidence-backed priority statement
03,S03-A02,Root-cause analysis,docs/stages/stage_03/02_ROOT_CAUSE_ANALYSIS.md,PRESENT_INTERNAL,Product Owner,Causal hypotheses linked to source findings
03,S03-A03,Baseline dataset,docs/stages/stage_03/kpi_baseline.csv,PARTIAL,Analytics Owner,Reproduced forensic metrics but business formulas absent
03,S03-A04,KPI tree,docs/stages/stage_03/03_KPI_TREE_AND_BASELINE.md,PRESENT_INTERNAL,Analytics Owner,North-star and counter-metrics defined
03,S03-A05,CTQs,docs/stages/stage_03/04_VALUE_CTQ_AND_SUCCESS_CRITERIA.md,PRESENT_INTERNAL,Product Owner,P0 and value-critical qualities defined
03,S03-A06,Value hypothesis,docs/stages/stage_03/04_VALUE_CTQ_AND_SUCCESS_CRITERIA.md,PRESENT_INTERNAL,Product Owner,Hypothesis not claimed achieved
03,S03-A07,Counter-metrics,docs/stages/stage_03/04_VALUE_CTQ_AND_SUCCESS_CRITERIA.md,PRESENT_INTERNAL,Analytics Owner,False-block and burden guards
03,S03-A08,Success and failure criteria,docs/stages/stage_03/04_VALUE_CTQ_AND_SUCCESS_CRITERIA.md,PRESENT_INTERNAL,Product Owner,POC thresholds distinct from outcome
04,S04-A01,Impact and regulatory screen,docs/stages/stage_04/01_INTENDED_PURPOSE_AND_APPLICABILITY_SCREEN.md,PARTIAL,Legal Regulatory Privacy,Expert applicability determination open
04,S04-A02,Prohibited-use check,docs/stages/stage_04/04_AUTHORITY_AND_PROHIBITED_USE_POLICY.md,PRESENT_INTERNAL,AI Governance Owner,Academic prohibited actions defined
04,S04-A03,AI suitability assessment,docs/stages/stage_04/03_AI_SUITABILITY_AND_NON_AI_ALTERNATIVE.md,PRESENT_INTERNAL,Product Owner,Deterministic first choice documented
04,S04-A04,Non-AI alternative,docs/stages/stage_04/03_AI_SUITABILITY_AND_NON_AI_ALTERNATIVE.md,PRESENT_INTERNAL,Product Owner,AI-off path preserved
04,S04-A05,Use-case card,docs/stages/stage_04/02_USE_CASE_CARDS_AND_AI_BOUNDARIES.md,PRESENT_INTERNAL,Product Owner,Three POC cards and AI boundary
04,S04-A06,Value-risk-feasibility matrix,docs/stages/stage_04/05_VALUE_RISK_FEASIBILITY_AND_G1_DECISION.md,PRESENT_INTERNAL,Product Owner,Internal academic decision only
04,S04-A07,Go-no-go and kill criteria,docs/stages/stage_04/05_VALUE_RISK_FEASIBILITY_AND_G1_DECISION.md,PRESENT_INTERNAL,Capstone Owner,P0 containment rules documented
05,S05-A01,Glossary,docs/stages/stage_05/01_DOMAIN_GLOSSARY.md,PRESENT_INTERNAL,Domain Owner,Ubiquitous language defined
05,S05-A02,Domain capability map,docs/stages/stage_05/02_CAPABILITY_BOUNDED_CONTEXT_AND_CONTEXT_MAP.md,PRESENT_INTERNAL,Domain Owner,Capabilities and seams mapped
05,S05-A03,Business rules,docs/stages/stage_05/04_BUSINESS_RULES_AND_DECISION_TABLES.md,PARTIAL,Clinical Quality Owners,Synthetic rules need controlled owner policy
05,S05-A04,Decision model,docs/stages/stage_05/04_BUSINESS_RULES_AND_DECISION_TABLES.md,PRESENT_INTERNAL,Domain Owner,Decision tables separate authority
05,S05-A05,Domain events,docs/stages/stage_05/05_DOMAIN_EVENTS_AND_TEMPORAL_MODEL.md,PRESENT_INTERNAL,Domain Owner,Occurred and recorded times explicit
05,S05-A06,Ownership map,docs/stages/stage_05/03_AGGREGATES_OWNERSHIP_AND_AUTHORITY.md,PARTIAL,Clinical Quality Owners,Real decision owners unconfirmed
05,S05-A07,DDD context map,docs/stages/stage_05/02_CAPABILITY_BOUNDED_CONTEXT_AND_CONTEXT_MAP.md,PRESENT_INTERNAL,Domain Owner,Context relationships described
05,S05-A08,Bounded contexts,docs/stages/stage_05/02_CAPABILITY_BOUNDED_CONTEXT_AND_CONTEXT_MAP.md,PRESENT_INTERNAL,Domain Owner,Context contracts defined
06,S06-A01,Data and knowledge inventories,docs/stages/stage_06/01_DATA_AND_KNOWLEDGE_INVENTORY.md,PRESENT_INTERNAL,Data Owner,Frozen synthetic sources inventoried
06,S06-A02,Lineage,docs/stages/stage_06/03_LINEAGE_PROVENANCE_AND_SOURCE_TRUST.md,PRESENT_INTERNAL,Data Owner,Source-to-decision chain designed
06,S06-A03,Quality profile,docs/stages/stage_06/02_DATA_QUALITY_PROFILE_AND_ISSUE_REGISTER.md,PRESENT_INTERNAL,Data Owner,Measured source anomalies
06,S06-A04,Provenance,docs/stages/stage_06/03_LINEAGE_PROVENANCE_AND_SOURCE_TRUST.md,PRESENT_INTERNAL,Data Owner,Locator and digest rules
06,S06-A05,Access matrix,docs/stages/stage_06/04_ACCESS_AND_PERMISSIBLE_USE_REGISTER.md,PARTIAL,Privacy Security Owners,Real data and provider use unresolved
06,S06-A06,Representativeness assessment,docs/stages/stage_06/05_REPRESENTATIVENESS_AND_DATA_GAP_REGISTER.md,PARTIAL,Data Owner,Synthetic data cannot prove external representativeness
06,S06-A07,Data-gap register,docs/stages/stage_06/05_REPRESENTATIVENESS_AND_DATA_GAP_REGISTER.md,PRESENT_INTERNAL,Data Owner,Unresolved ground truth and policy gaps recorded
06,S06-A08,Dataset datasheets,docs/stages/stage_06/06_DATASET_DATASHEETS_AND_SOP_REGISTER.md,PRESENT_INTERNAL,Data Owner,Grouped datasheets and controlled SOP status
07,S07-A01,Evaluation strategy,docs/stages/stage_07/01_EVALUATION_STRATEGY_AND_THRESHOLDS.md,PRESENT_INTERNAL,TEVV Owner,Frozen case strategy
07,S07-A02,Golden-set specification,docs/stages/stage_07/02_SCENARIO_CATALOG_AND_GOLDEN_SET.md,PRESENT_INTERNAL,TEVV Owner,Public synthetic seeds and label governance
07,S07-A03,Scenarios,docs/stages/stage_07/evaluation_catalog.json,PRESENT_INTERNAL,TEVV Owner,57 specified cases
07,S07-A04,Acceptance thresholds,docs/stages/stage_07/01_EVALUATION_STRATEGY_AND_THRESHOLDS.md,PARTIAL,TEVV Owner,Registered 20-client load not yet verified
07,S07-A05,AI impact assessment,docs/stages/stage_07/03_AI_SYSTEM_IMPACT_ASSESSMENT.md,PARTIAL,AI Governance Owner,Production intended-use review open
